ratio_name,ratio_code,function_name
Equity Ratio,ER,equity_ratio
Long Term Asset Self Financing Ratio,LTASFR,long_term_asset_self_financing_ratio
Fixed Asset Self Financing Ratio,FASFR,fixed_asset_self_financing_ratio
General Solvency Ratio,GSR,general_solvency_ratio
Return On Investment,ROI,return_on_investment
Basic Earning Power,BEP,basic_earning_power
Debt To Assets Ratio,DTAR,debt_to_assets_ratio
Debt To Equity Ratio,DTER,debt_to_equity_ratio
Short Term Debt To Assets Ratio,STDTAR,short_term_debt_to_assets_ratio
Interest Coverage Ratio,ICR,interest_coverage_ratio
Long Term Debt To Equity Ratio,LTDTER,long_term_debt_to_equity_ratio
Short Term Debt To Equity Ratio,STDTER,short_term_debt_to_equity_ratio
Receivables To Payables Ratio,RTPR,receivables_to_payables_ratio
Receivables To Total Assets Ratio,RTTAR,receivables_to_total_assets_ratio
Debt To Total Capital Ratio,DTTCR,debt_to_total_capital_ratio
Receivables To Sales Ratio,RTSR,receivables_to_sales_ratio
Allowance For Doubtful Accounts Ratio,AFDAR,allowance_for_doubtful_accounts_ratio
Asset To Debt Ratio,ATDR,asset_to_debt_ratio
Current Ratio,CurrentR,current_ratio
Quick Ratio,QR, quick_ratio
Cash Ratio,CashR, cash_ratio
Long Term Debt Coverage Ratio,LTDCR, long_term_debt_coverage_ratio
Long Term Debt To Equity Capital Ratio,LTDTECR, long_term_debt_to_equity_capital_ratio
Time Interest Earned,TIE, time_interest_earned
Debt To Tangible Net Worth Ratio,DTTNWR, debt_to_tangible_net_worth_ratio
Financial Leverage,FL, financial_leverage
Allowance For Doubtful Accounts To Total Assets Ratio,AFDATTAR, allowance_for_doubtful_accounts_to_total_assets_ratio
Permanent Financing Ratio,PFR, permanent_financing_ratio
Financial Income To Net Revenue Ratio,FITNRR, financial_income_to_net_revenue_ratio
Return On Assets,ROA, return_on_assets
Return On Fixed Assets,ROFA, return_on_fixed_assets
Return On Long Term Operating Assets,ROLTOA, return_on_long_term_operating_assets
Basic Earning Power Ratio,BEPR,Basic_Earning_Power_Ratio
Return On Equity,ROE, Return_on_equity
Profitability Of Cost Of Goods Sold,POCOGS, profitability_of_cost_of_goods_sold
Price Spread Ratio,PSR, price_spread_ratio
Profitability Of Operating Expenses,POOE, profitability_of_operating_expenses
Return On Sales,ROS, Return_on_sales
Operating Profit Margin,OPM,operating_profit_margin
Gross Profit Margin,GPM,gross_profit_margin
Return on Invested Capital,ROIC,ROIC
EBIT,EBIT,EBIT
EBITDA,EBITDA,EBITDA
Free Cash Flow,FCF,free_cash_flow
Free Cash Flow To Operating Cash Flow Ratio,FCFTOCFR, free_cash_flow_to_operating_cash_flow_ratio
Cash Interest Coverage,CIC,cash_interest_coverage
Cash Flow From Sales To Sales,CFFSTS,cash_flow_from_sales_to_sales
Cash Flow Margin,CFM,cash_flow_margin
Earning Quality Ratio,EQR,earning_quality_ratio
Cash Debt Coverage Ratio,CDCR,cash_debt_coverage_ratio
Cash Return On Assets,CROA,cash_return_on_assets
Cash Return On Fixed Assets,CROFA,cash_return_on_fixed_assets
CFO To Total Equity,CFOTTE,CFO_to_total_equity
Net Interest Margin,NIM,net_interest_margin
Allowance for loan customers ratio,ALCR,allowance_for_loan_customers_ratio
Net profit margin,NPM,net_profit_margin
